nombre,tipo,telefono,direccion,municipio,departamento
INSP MCPAL TTOyTTE SAN GIL,Organismos de Tránsito,7243400,CALLE 12  NO. 9-51 FRENTE AL PARQUE PRINCIPAL,SAN GIL,SANTANDER
INSP TTEyTTO AGUADAS,Organismos de Tránsito,8514239,CALLE 6 NO 5 - 23 PISO 1. PALACIO MUNICIPAL PLAZA PRINCIPAL,AGUADAS,CALDAS
INSP TTEyTTO GUADALAJARA DE BUGA,Organismos de Tránsito,2375568,TERMINAL DE TRANSPORTE-SEGUNDO PISO OFICINA 207 Y  209,GUADALAJARA DE BUGA,VALLE DEL CAUCA
INSP TTO MCPAL LA CEJA,Organismos de Tránsito,5534428,CARRERA 17 NO.   21 - 54  CENTRAL INTEGRADORA DE TRANSPORTES,LA CEJA,ANTIOQUIA
INSP TTO MOMPOX,Organismos de Tránsito,3123953406,CARRERA 2 PALACIO DE SAN CARLOS,MOMPOS,BOLÍVAR
INSP TTO PUERTO BERRIO,Organismos de Tránsito,8332120,CARRERA 5 NO 50 - 11  PALACIO MUNICIPAL PISO 2,PUERTO BERRIO,ANTIOQUIA
INSP TTOyTTE ANDES,Organismos de Tránsito,8416830,CALLE 49 ARBOLEDA N° 49ª - 33,ANDES,ANTIOQUIA
INSP TTOyTTE BARRANCABERMEJA,Organismos de Tránsito,6214599,CARRERA 2 NO.50-25 SECTOR COMERCIAL,BARRANCABERMEJA,SANTANDER
INSP TTOyTTE CALARCA,Organismos de Tránsito,,AVENIDA CACIQUE CALLE 42 NO. 22-01,CALARCA,QUINDÍO
INSP TTOyTTE LORICA,Organismos de Tránsito,7735426,CARRERA 25. TERMINAL DE TRANSPORTE,LORICA,CÓRDOBA
INSP TTOyTTE MCPAL PUERTO BOYACA,Organismos de Tránsito,7383490,CARRERA 2 # 10 ESQUINA CENTRO ADMINISTRATIVO MUNICIPAL,PUERTO BOYACA,BOYACÁ
INSP TTOyTTE MCPAL SAHAGUN,Organismos de Tránsito,7588350,CALLE 14 ENTRE CARRERA 10 Y 11,SAHAGUN,CÓRDOBA
INSP TTOyTTE MCPAL SONSON,Organismos de Tránsito,8694444,CARRERA 6 NO.  6 - 58. ALCALDIA MUNICIPAL,SONSON,ANTIOQUIA
INSP TTOyTTE ROLDANILLO,Organismos de Tránsito,2490484,ALCALDIA MUNICIPAL  CALLE 9  CON CARRERA 2 NORTE. PARQUE DIDACTICO,ROLDANILLO,VALLE DEL CAUCA
