nombre,tipo,telefono,direccion,municipio,departamento
STRIA MCPAL TTOyTTE PAMPLONA,Organismos de Tránsito,5680501,CARRERA 6 CALLE 5 ESQUINA PALACIO MUNICIPAL,PAMPLONA,NORTE DE SANTANDER
STRIA MCPAL TTOyTTE PUERTO COLOMBIA,Organismos de Tránsito,3097029,PROLONGACIÓN CARRERA 30 CORREDOR UNIVERSITARIO ESTACIÓN DE SERVICIO PAPIROS PARKING 2 PISO 2,PUERTO COLOMBIA,ATLÁNTICO
STRIA MCPAL TTOyTTE SABANAGRANDE– ATLÁNTICO,Organismos de Tránsito,8791370,PALACIO MUNICIAL,SABANAGRANDE,ATLÁNTICO
STRIA MOV MCPAL SUPIA/CALDAS,Organismos de Tránsito,8560215,CALLE 32 NUMERO 6-11,SUPIA,CALDAS
STRIA MOV MCPAL VITERBO/CALDAS,Organismos de Tránsito,8690090,KR 8 # 7- 63,VITERBO,CALDAS
STRIA MOVyTTE DE PLANADAS,Organismos de Tránsito,2265033,CR. 5 CL. 1 CENTRO,PLANADAS,TOLIMA
STRIA MOVyTTE DPTAL VALLE DEL CAUCA/ALCALA,Organismos de Tránsito,6200197,CL 9 CON CL 8,ALCALA,VALLE DEL CAUCA
STRIA MOVyTTE DPTAL VALLE DEL CAUCA/ANSERMANUEVO,Organismos de Tránsito,76041001,CALLE 6 # 7 -44,ANSERMANUEVO,VALLE DEL CAUCA
STRIA MOVyTTE DPTAL VALLE DEL CAUCA/BOLIVAR,Organismos de Tránsito,3188346029,CALLE 7 N° 4-13,BOLIVAR,VALLE DEL CAUCA
STRIA MOVyTTE DPTAL VALLE DEL CAUCA/BUGALAGRANDE,Organismos de Tránsito,833373,CARRERA 5 NO 3 - 63 BARRIO CENTRO,BUGALAGRANDE,VALLE DEL CAUCA
STRIA MOVyTTE DPTAL VALLE DEL CAUCA/DAGUA,Organismos de Tránsito,3128754126,CRA 9 N° 9-67,DAGUA,VALLE DEL CAUCA
STRIA MOVyTTO OCAÑA,Organismos de Tránsito,3017541754,AVENIDA CIRCUNVALAR CARRERA 11 # 19-332,OCAÑA,NORTE DE SANTANDER
STRIA MOVyTTO QUIBDO,Organismos de Tránsito,6717164,CALLE 30 DIAGONAL CEMENTERIO SAN JOSE,QUIBDO,CHOCÓ
STRIA TT0yTTE MCPAL TUQUERRES,Organismos de Tránsito,7281301,CARRERA 14 CALLE 16 PALACIO MUNICIPAL,TUQUERRES,NARIÑO
STRIA TTEy MOV CUND/ARBELAEZ,Organismos de Tránsito,6171914,CL 8 N 8 05,ARBELAEZ,CUNDINAMARCA
STRIA TTEy MOV CUND/CAQUEZA,Organismos de Tránsito,8480357,AVENIDA 5 FRENTE AL HOSPITAL,CAQUEZA,CUNDINAMARCA
STRIA TTEy MOV CUND/SIBATE,Organismos de Tránsito,7251633,CARRERA 6 NO. 8-64 ANTIGUA CASA DE LA CULTURA,SIBATE,CUNDINAMARCA
STRIA TTEyMOV CUND/CHIPAQUE,Organismos de Tránsito,6171914,VIA BOGOTÁ – VILLAVICENCIO KM12+250 CHIPAQUE - CUNDINAMARCA,CHIPAQUE,CUNDINAMARCA
STRIA TTEyMOV CUND/CHOCONTA,Organismos de Tránsito,,CALLE 6 NO. 6 - 32,CHOCONTA,CUNDINAMARCA
STRIA TTEyMOV CUND/EL ROSAL,Organismos de Tránsito,8240180,CALLE 10 NO. 9 - 01,EL ROSAL,CUNDINAMARCA
STRIA TTEyMOV CUND/PUERTO SALGAR,Organismos de Tránsito,3182529571,CARRERA 14 NO11/85,PUERTO SALGAR,CUNDINAMARCA
STRIA TTEyMOV CUND/RICAURTE,Organismos de Tránsito,8366593,CARRERA 15 NO. 6-109,RICAURTE,CUNDINAMARCA
STRIA TTEyMOV CUND/VILLETA,Organismos de Tránsito,8444721,CALLE 1 CANCHA MUNICIPAL,VILLETA,CUNDINAMARCA
STRIA TTEyMOV CUNDINAMARCA/TENJO,Organismos de Tránsito,0,"LOCALES 4, 5 Y 6 DEL INTERIOR 4 ETAPA 4 DE LA AUTOPISTA MEDELLÍN, KILÓMETRO 6.7. COSTADO NORTE DENTRO DEL PARQUE INDUSTRIAL NOVOTECH",TENJO,CUNDINAMARCA
STRIA TTEyTTO ANSERMA,Organismos de Tránsito,85344979,PALACIO MUNICIPAL   CALLE 7 ENTRE 4  Y 5,ANSERMA,CALDAS
STRIA TTEyTTO BELLO,Organismos de Tránsito,4813030,DIAGONAL 50A  NO.  42 -95,BELLO,ANTIOQUIA
STRIA TTEyTTO COPACABANA,Organismos de Tránsito,4532584,CALLE 50 # 53-46,COPACABANA,ANTIOQUIA
STRIA TTEyTTO ENVIGADO,Organismos de Tránsito,3394088,CALLE 49 SUR  NO. 48-28 - AVENIDA LAS VEGAS,ENVIGADO,ANTIOQUIA
STRIA TTEyTTO GIRARDOTA,Organismos de Tránsito,4052540,KM 25 CENTRO INDUSTRIAL DEL NORTE LOCAL 201,GIRARDOTA,ANTIOQUIA
STRIA TTEyTTO ITAGUI,Organismos de Tránsito,3718014,CALLE 50  NO. 43-34,ITAGUI,ANTIOQUIA
STRIA TTEyTTO MCPAL AGUSTIN CODAZZI,Organismos de Tránsito,5766070,CALLE 6 # 30 LOTE 2,AGUSTIN CODAZZI,CESAR
STRIA TTEyTTO MCPAL CALDAS/ANTIOQUIA,Organismos de Tránsito,3037585 EXT 111,CARRERA 48 # 129 SUR - 59,CALDAS,ANTIOQUIA
STRIA TTEyTTO MCPAL FRONTINO,Organismos de Tránsito,8595288,CALLE 30 NO. 30-04. PALACIO MUNICIPAL,FRONTINO,ANTIOQUIA
STRIA TTEyTTO MCPAL SANTA FE ANTIOQUIA,Organismos de Tránsito,8533745,CALLE 9 # 8-34,SANTAFE DE ANTIOQUIA,ANTIOQUIA
STRIA TTEyTTO MCPAL TUMACO,Organismos de Tránsito,7271803,CIUDADELA VIA TUMACO-PASTO.,SAN ANDRES DE TUMACO,NARIÑO
STRIA TTO DPTAL NTE SANTANDER/EL ZULIA,Organismos de Tránsito,5789655,AVENIDA 2 NO 5-80 BARRIO EL CENTRO  ZULIA,EL ZULIA,NORTE DE SANTANDER
STRIA TTO MCPAL FACATATIVA,Organismos de Tránsito,8426124,CARRERA 2 NO. 2 - 89 ANTIGUA CAMARA DE COMERCIO,FACATATIVA,CUNDINAMARCA
STRIA TTO MCPAL LA UNION,Organismos de Tránsito,2293118,CALLE 15 NO. 14-34. ALCALDIA MUNICIPAL,LA UNION,VALLE DEL CAUCA
STRIA TTO MCPAL PATIA,Organismos de Tránsito,8261024,CARRERA 3 NO. 4-67 ESQUINA,PATIA,CAUCA
STRIA TTO MCPAL PUERTO TEJADA,Organismos de Tránsito,8283060,CARRERA 19 CALLE 17 ESQUINA ALCALDIA MUNICIPAL,PUERTO TEJADA,CAUCA
STRIA TTO MCPAL SANTA ROSA DE OSOS,Organismos de Tránsito,8609785,CARRERA 28A N 32-17 TERMINAL DE TRANSPORTE TERCER PISO,SANTA ROSA DE OSOS,ANTIOQUIA
STRIA TTO MCPAL TULUA,Organismos de Tránsito,2320061,CRA 30 VÍA PRINCIPAL COLISEO MANUEL VICTORIA ROJAS,TULUA,VALLE DEL CAUCA
STRIA TTO MOV MCPAL NEIRA/CALDAS,Organismos de Tránsito,,,NEIRA,CALDAS
STRIA TTO TTEyMOV MCPAL CAJICA/CUND,Organismos de Tránsito,8837077 Ext. 13000,CARRERA 4 # 03 - 07 - CASA DE LA CULTURA 1,CAJICA,CUNDINAMARCA
STRIA TTO y GOB MCPAL SANTA ROSA CABAL,Organismos de Tránsito,3660600,CARRERA 14 CALLE 12 ESQUINA CAM  2 PISO,SANTA ROSA DE CABAL,RISARALDA
STRIA TTO Y TTE MCPAL DE SABANALARGA,Organismos de Tránsito,780462,KM 80 + 0.400 LOCAL 3 VIA LA CORDIALIDAD,SABANALARGA,ATLÁNTICO
STRIA TTOyMOV MCPAL SOPO/CUND,Organismos de Tránsito,3175737469,CARRERA 4 # 01-68 PISO 1 Y 2,SOPO,CUNDINAMARCA
STRIA TTOyMOV MCPAL VILLANUEVA,Organismos de Tránsito,6241204,CALLE 8 NO 13 - 35 BARRIO FUNDADORES,VILLANUEVA,CASANARE
STRIA TTOyMOV PIEDECUESTA/SANTANDER,Organismos de Tránsito,6650444 EXT 1200 - 1206,CRA 15 N° 3AN-10 SÓTANO 1 LOCAL B02 C.C. DELA CUESTA,PIEDECUESTA,SANTANDER
STRIA TTOyTTE ANDALUCIA,Organismos de Tránsito,2235168,CARRERA 4 CON CALLE 12-ESQUINA,ANDALUCIA,VALLE DEL CAUCA
STRIA TTOYTTE CAUCASIA,Organismos de Tránsito,8381595,BARRIO EL PAJONAL CAUCASIA CL 20B  N 12-23,CAUCASIA,ANTIOQUIA
STRIA TTOyTTE DEL MCPIO DEL BAGRE,Organismos de Tránsito,3122754290,CARRERA 49 48 55 BRR BIJAO,EL BAGRE,ANTIOQUIA
STRIA TTOyTTE DPTAL TANGUA/NARIÑO,Organismos de Tránsito,7235002,EDIFICIO PALACIO MUNICIPAL - BARRIO LOS ANDES,TANGUA,NARIÑO
STRIA TTOyTTE EL SANTUARIO,Organismos de Tránsito,4602240,CARRERA 42  NO.  49-107,EL SANTUARIO,ANTIOQUIA
STRIA TTOyTTE FLORIDA,Organismos de Tránsito,2538580,PLAZA PRINCIPAL CALLE 8 NO. CARRERA  19-27,FLORIDA,VALLE DEL CAUCA
STRIA TTOyTTE MCPAL AIPE/HUILA,Organismos de Tránsito,,CL 4 N 4 - 09,AIPE,HUILA
STRIA TTOyTTE MCPAL AMALFI,Organismos de Tránsito,8300247,CALLE 20 NO 20 -52 PALACIO MUNICIPAL,AMALFI,ANTIOQUIA
STRIA TTOyTTE MCPAL BARICHARA/SANTANDER,Organismos de Tránsito,3176811270,CALLE 5 6-39,BARICHARA,SANTANDER
STRIA TTOyTTE MCPAL BOLIVAR,Organismos de Tránsito,8272383,CALLE 6 NO. 6-28. PARQUE LOS FUNDADORES,BOLIVAR,CAUCA
STRIA TTOyTTE MCPAL BUENAVENTURA,Organismos de Tránsito,2433354,CALLE LA VICTORIA CARRERA 10 NO. 5A-12.,BUENAVENTURA,VALLE DEL CAUCA
STRIA TTOyTTE MCPAL BUESACO/NARIÑO,Organismos de Tránsito,3167767541,CAM CRA 2 N°8- 17 B/CENTRO,BUESACO,NARIÑO
STRIA TTOyTTE MCPAL CALOTO,Organismos de Tránsito,8258337,CALLE 12 NO. 5 - 46,CALOTO,CAUCA
STRIA TTOyTTE MCPAL CANDELARIA,Organismos de Tránsito,2646344,CALLE 9 CARRERA 8 ESQUINA ALCALDIA MUNICIPAL,CANDELARIA,VALLE DEL CAUCA
STRIA TTOyTTE MCPAL CHACHAGUI NARIÑO,Organismos de Tránsito,1111111,CALLE 3 # 4-60 BARRIO OFICIAL PLAZA PRINCIPAL MUNICIPIO DE NARIÑO,CHACHAGsI,NARIÑO
STRIA TTOyTTE MCPAL CIMITARRA,Organismos de Tránsito,6059219,CARRERA 5  6-10 PALACIO MUNICIPAL,CIMITARRA,SANTANDER
STRIA TTOyTTE MCPAL DE GUADUAS,Organismos de Tránsito,8466100,CALLE 4 NO.1-88,GUADUAS,CUNDINAMARCA
STRIA TTOYTTE MCPAL DE MADRID,Organismos de Tránsito,918250486,CLL 5 N. 4-74,MADRID,CUNDINAMARCA
STRIA TTOyTTE MCPAL DE OIBA,Organismos de Tránsito,7173285,CALLE 10 N 6-36,OIBA,SANTANDER
STRIA TTOyTTE MCPAL DE PUERTO TRIUNFO,Organismos de Tránsito,8352017,CALLE 10 NO 10 - 71,PUERTO TRIUNFO,ANTIOQUIA
STRIA TTOyTTE MCPAL EL SOCORRO,Organismos de Tránsito,7272579,CALLE 16 - CARRERA 16 TERMINAL DE TRANSPORTE LOCAL 2,SOCORRO,SANTANDER
STRIA TTOYTTE MCPAL EL TAMBO,Organismos de Tránsito,8276090,CALLE 4 NO. 2-98. ALCALDIA MUNICIPAL,EL TAMBO,CAUCA
STRIA TTOyTTE MCPAL FLORENCIA,Organismos de Tránsito,4346631,CARRERA 15 # 14-27 BARRIO EL CENTRO,FLORENCIA,CAQUETÁ
STRIA TTOyTTE MCPAL FRESNO,Organismos de Tránsito,2581778,CARRERA 7 NO.  3-28 PALACIO MUNICIPAL PISO 1,FRESNO,TOLIMA
STRIA TTOyTTE MCPAL FUNZA,Organismos de Tránsito,8223211,CARRERA 15 CON CALLE 14 ESQUINA CENTRO COMERCIAL BANCOLOMBIA PISO 2,FUNZA,CUNDINAMARCA
STRIA TTOyTTE MCPAL GARAGOA,Organismos de Tránsito,7500710,CALLE 10 NO 9 - 65 PARQUE PRINCIPAL EDIFICIO ALCALDIA MUNICIPAL.,GARAGOA,BOYACÁ
STRIA TTOyTTE MCPAL GIRARDOT,Organismos de Tránsito,8325712,CARRERA 12B # 32 -55 BARRIO ROSA BLANCA,GIRARDOT,CUNDINAMARCA
STRIA TTOyTTE MCPAL GUACARI,Organismos de Tránsito,2531000,SALIDA NORTE VIA GUACARI - BUGA,GUACARI,VALLE DEL CAUCA
STRIA TTOyTTE MCPAL INIRIDA,Organismos de Tránsito,5656065,ALCALDIA MAYOR INIRIDA,INIRIDA,GUAINÍA
STRIA TTOyTTE MCPAL IPIALES,Organismos de Tránsito,7730400,CARRERA 2 # 2-81 BARRIO LA LAGUNA,IPIALES,NARIÑO
STRIA TTOyTTE MCPAL JAMUNDI,Organismos de Tránsito,5169290,CALLE 11 NO. CON CARRERA 13  ESQUINA. CENTRO COMERCIAL  PALMAS  PLAZA LOCAL 11,JAMUNDI,VALLE DEL CAUCA
STRIA TTOyTTE MCPAL LA CALERA/CUND,Organismos de Tránsito,8756672,CALLE 6 # 4 - 53,LA CALERA,CUNDINAMARCA
STRIA TTOYTTE MCPAL LA ESTRELLA,Organismos de Tránsito,2791606,CARRERA 60 NO. 80 SUR 24,LA ESTRELLA,ANTIOQUIA
STRIA TTOyTTE MCPAL LA PAZ,Organismos de Tránsito,5771240,TRANSVERSAL 5 # 4-130,LA PAZ,CESAR
STRIA TTOyTTE MCPAL LA TEBAIDA,Organismos de Tránsito,7542444,CARRERA 6 NO. 12-27,LA TEBAIDA,QUINDÍO
STRIA TTOyTTE MCPAL LIBANO,Organismos de Tránsito,3212009870,CALLE 5 NO. 10 - 48 ALCALDIA MUNICIPAL PISO 2,LIBANO,TOLIMA
STRIA TTOyTTE MCPAL MALAGA,Organismos de Tránsito,6615339,CALLE 12 NO. 8-51,MALAGA,SANTANDER
STRIA TTOyTTE MCPAL MIRANDA,Organismos de Tránsito,8476013,CALLE 6 NO 5-21.  PALACIO MUNICIPAL  BARRIO CENTRAL MIRANDA CAUCA,MIRANDA,CAUCA
STRIA TTOYTTE MCPAL NARIÑO,Organismos de Tránsito,7231578,CARRERA 4 NO 4 09,NARIÑO,NARIÑO
STRIA TTOyTTE MCPAL NECOCLÍ/ANTIOQUIA,Organismos de Tránsito,8214616,CR50 N52-36/46,NECOCLI,ANTIOQUIA
STRIA TTOyTTE MCPAL ORITO,Organismos de Tránsito,4292016,ALCALDIA MUNICIPAL,ORITO,PUTUMAYO
STRIA TTOyTTE MCPAL PACHO,Organismos de Tránsito,8540065,CALLE 6 # 17-121,PACHO,CUNDINAMARCA
STRIA TTOyTTE MCPAL PAIPA,Organismos de Tránsito,7853251,CALLE 25 NO 20-08. PISO 2 ANTIGUA CASA DE LA CULTURA,PAIPA,BOYACÁ
STRIA TTOyTTE MCPAL PIENDAMO,Organismos de Tránsito,8250834,CARRERA 5 # 9-93 ALCALDIA MUNICIPAL PISO 2,PIENDAMO,CAUCA
STRIA TTOyTTE MCPAL PLATO - MAGDALENA,Organismos de Tránsito,4840317,VIA 14 SALIDA AL DIFICIL - 2 PISO,PLATO,MAGDALENA
STRIA TTOyTTE MCPAL POPAYAN,Organismos de Tránsito,8200810,CARRERA 2 CALLE 25 NORTE VIA POMONA,POPAYAN,CAUCA
STRIA TTOyTTE MCPAL PRADERA,Organismos de Tránsito,2670577,CARRERA 8 CON CALLE 8 ESQUINA,PRADERA,VALLE DEL CAUCA
STRIA TTOyTTE MCPAL PUENTE NACIONAL/SANTANDER,Organismos de Tránsito,3164958338,CARRERA 7 # 4 - 48,PUENTE NACIONAL,SANTANDER
STRIA TTOYTTE MCPAL RICAURTE,Organismos de Tránsito,7753417,MUNICIPIO DE RIOCAUTE CENTRO,RICAURTE,NARIÑO
STRIA TTOyTTE MCPAL SABANA DE TORRES,Organismos de Tránsito,3222756934,CALLE 11 # 11-06 BARRIO AIRES,SABANA DE TORRES,SANTANDER
STRIA TTOyTTE MCPAL SABANETA,Organismos de Tránsito,3015597,CARRERA 45 N. 75 SUR - 35,SABANETA,ANTIOQUIA
STRIA TTOyTTE MCPAL SAN JOSE GUAVIARE,Organismos de Tránsito,5840147,CALLE 9 D Nº 19-50-BARRIO PORVENIR,SAN JOSE DEL GUAVIARE,GUAVIARE
STRIA TTOyTTE MCPAL SAN MARTÍN/CESAR,Organismos de Tránsito,5548058,CRA 7 13-56,SAN MARTIN,CESAR
STRIA TTOyTTE MCPAL SANTA CATALINA - BOLIVAR,Organismos de Tránsito,3197863632,"LOCAL 1, ESTACION DE SERVICIO LOMA DE ARENA - SANTA CATALINA - BOLÍVAR",SANTA CATALINA,BOLÍVAR
STRIA TTOyTTE MCPAL SARAVENA,Organismos de Tránsito,8891915,CALLE 27 NO. 15-16,SARAVENA,ARAUCA
STRIA TTOyTTE MCPAL SEGOVIA,Organismos de Tránsito,8316670,CALLE 50 # 53-105,SEGOVIA,ANTIOQUIA
STRIA TTOyTTE MCPAL TIMBIO,Organismos de Tránsito,8278463,CARRERA 17 NO. 17-06,TIMBIO,CAUCA
STRIA TTOYTTE MCPAL TURBACO,Organismos de Tránsito,6555352,TRANSITO MUNICIPAL DE TURBACO AV TRONCAL DE OCCIDENTE - SECTOR PLAN PAREJO CALLE,TURBACO,BOLÍVAR
STRIA TTOyTTE MCPAL UBATE,Organismos de Tránsito,8891668,CARRERA 4 CON CALLE 10 ESQUINA,VILLA DE SAN DIEGO DE UBATE,CUNDINAMARCA
STRIA TTOyTTE MCPAL URRAO,Organismos de Tránsito,504204,CALLE 34 A NO. 27-10 - CENTRO ADMINISTRATIVO,URRAO,ANTIOQUIA
STRIA TTOyTTE MCPAL VALLEDUPAR,Organismos de Tránsito,5804595,CALLE 16A # 10-24,VALLEDUPAR,CESAR
STRIA TTOyTTE MCPAL VILLAVICENCIO,Organismos de Tránsito,6725369,CARRERA 37 A NO. 19 C 20,VILLAVICENCIO,META
STRIA TTOyTTE MCPAL YOPAL,Organismos de Tránsito,6320839,CRA 23 CON CALLE 26 ESQUINA TERMINAL DE TRANSPORTE,YOPAL,CASANARE
STRIA TTOyTTE MCPAL ZONA BANANERA MAGDALENA,Organismos de Tránsito,,,ZONA BANANERA,MAGDALENA
STRIA TTOyTTE MOCOA,Organismos de Tránsito,4200524,CARRERA 7 CON CALLE 8 ESQUINA PALACIO MUNICIPAL,MOCOA,PUTUMAYO
STRIA TTOyTTE MPAL SANTANDER QUILICHAO,Organismos de Tránsito,8294086,CARRERA  11 NO. 4 - 50,SANTANDER DE QUILICHAO,CAUCA
STRIA TTOyTTE PALMIRA,Organismos de Tránsito,2711807,CALLE 47 NO. 35-91,PALMIRA,VALLE DEL CAUCA
STRIA TTOyTTE SALAMINA,Organismos de Tránsito,8595020,CALLE 5  NO. 5-65,SALAMINA,CALDAS
STRIA TTOyTTE SEVILLA,Organismos de Tránsito,2198845,ALCALDIA CARRERA 50 NO. 51-10 PISO 3. ESQUINA,SEVILLA,VALLE DEL CAUCA
STRIA TTOyTTE VELEZ,Organismos de Tránsito,7564990,CALLE 9 # 2-27 ALCALDIA MUNICIPAL,VELEZ,SANTANDER
STRIA TTOyTTE YUMBO,Organismos de Tránsito,6699599,CARRERA 6 NO 4-36 BARRIO BELALCAZAR,YUMBO,VALLE DEL CAUCA
SUB STARIA TTOyTTE DPTAL NARIÑO/IMUES,Organismos de Tránsito,033-3167179085,VIA PANAMERICANA CORREGIMIENTO PEDREGAL,IMUES,NARIÑO
SUB STRIA MOVILIDAD RIOSUCIO,Organismos de Tránsito,8594830,CARRERA 7 CALLE 10 ESQUINA PISO 1 - CASA DE GOBIERNO MUNICIPAL,RIOSUCIO,CALDAS
SUBSTRIA TTOyTTE DPTAL NARIÑO/LA UNION,Organismos de Tránsito,3137496039,CARRERA 7 # 8-122,LA UNION,NARIÑO
SUBSTRIA TTOyTTE DPTAL NARIÑO/PUPIALES,Organismos de Tránsito,2-7246215,CARRERA 4 # 5 – 33 BARRIO SAN FRANCISCO,PUPIALES,NARIÑO
SUBSTRIA TTOyTTE DPTAL NARIÑO/SAMANIEGO,Organismos de Tránsito,3014103299,ALCALDIA MUNICIPAL,SAMANIEGO,NARIÑO
SUBSTRIA TTOyTTE DPTAL NARIÑO/SANDONA,Organismos de Tránsito,033-3137208900,CRA 5 NO 10-33 B/MELÉNDEZ,SANDONA,NARIÑO
SUBSTRIA TTOyTTE DTAL NARIÑO/GUACHUCAL,Organismos de Tránsito,2-7778601 Y 7771398,CRA 5 NO 8-55 EDIFICIO CAN,GUACHUCAL,NARIÑO
TRÁNSITO DPTAL DE ANTIOQUIA/SAN JERONIMO,Organismos de Tránsito,3839002,CLL 42B 52-106 P 12,SAN JERONIMO,ANTIOQUIA
TRANSITO DPTAL DE PUTUMAYO/ SIBUNDOY,Organismos de Tránsito,4201515,CRA 8 NO. 7-40 BARRIO CENTRO,SIBUNDOY,PUTUMAYO
TRÁNSITO DPTAL DEL MAGDALENA/SITIONUEVO,Organismos de Tránsito,4381144,KILOMETRO 2 + 500 METROS VÍA PALERMO,SITIONUEVO,MAGDALENA
TRÁNSITO DPTAL NARIÑO/YACUANQUER,Organismos de Tránsito,3104119256,CALLE 7 N 3-29 BARRIO SANTA CLARA YACUANQUER,YACUANQUER,NARIÑO
U TEC CONT/VIG/ REG TTOyTTE SANTA MARTA,Organismos de Tránsito,4382777,CALLE 15 NO. 1C - 54 OFIC. 302  EDIFICIO PEVESCA,SANTA MARTA,MAGDALENA
UND MCPAL TTOyTTE PALERMO,Organismos de Tránsito,8753489,CALLE 33 NO. 5 P -10 VIA BOGOTA,PALERMO,HUILA
UND TTO CALDAS/ARANZAZU,Organismos de Tránsito,3394000,CARRERA 6 # 6-23,ARANZAZU,CALDAS
UNIDAD TTO CALDAS/VILLAMARIA,Organismos de Tránsito,8779197,CALLE 10 # 3 - 30 LOCAL 1 Y 2 EDIFICIO JUAN MIGUEL,VILLAMARIA,CALDAS
